Local time,Symbol,Ask,Bid,AskVolume,BidVolume
20.11.2019 22:45:21.289,Gas,570.159,569.259,0.0001,0.0001
20.11.2019 22:45:22.093,Gas,570.28,569.38,0.0001,0.0001
20.11.2019 22:45:22.827,Gas,570.279,569.379,0.0005,0.0002
20.11.2019 22:45:39.711,Gas,570.159,569.259,0.0005,0.0002
20.11.2019 22:45:40.218,Gas,570.16,569.26,0.0001,0.0001
20.11.2019 22:45:52.739,Gas,570.159,569.259,0.0002,0.0001
20.11.2019 22:46:39.812,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:46:56.948,Gas,570.159,569.259,0.0002,0.0001
20.11.2019 22:46:58.266,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 22:47:28.764,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 22:47:29.763,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 22:47:50.264,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 22:48:02.954,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 22:48:32.993,Gas,570.159,569.259,0.0004,0.0001
20.11.2019 22:49:14.615,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 22:49:48.322,Gas,570.159,569.259,0.0001,0.0001
20.11.2019 22:49:51.105,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 22:50:10.921,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 22:50:41.391,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:50:52.326,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 22:50:55.140,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:51:06.932,Gas,570.159,569.259,0.0002,0.0001
20.11.2019 22:51:28.243,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 22:51:50.633,Gas,570.029,569.129,0.0003,0.0001
20.11.2019 22:51:53.562,Gas,570.16,569.26,0.0004,0.0002
20.11.2019 22:51:58.328,Gas,570.03,569.13,0.0003,0.0001
20.11.2019 22:52:00.030,Gas,570.029,569.129,0.0003,0.0003
20.11.2019 22:52:02.293,Gas,570.159,569.259,0.0003,0.0003
20.11.2019 22:52:30.128,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 22:53:11.673,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 22:53:13.416,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 22:53:16.638,Gas,570.03,569.13,0.0003,0.0001
20.11.2019 22:53:18.016,Gas,570.029,569.129,0.0004,0.0003
20.11.2019 22:53:26.507,Gas,570.159,569.259,0.0004,0.0003
20.11.2019 22:53:52.257,Gas,570.16,569.26,0.0004,0.0001
20.11.2019 22:54:32.061,Gas,570.029,569.129,0.0004,0.0001
20.11.2019 22:54:32.719,Gas,570.03,569.13,0.0004,0.0003
